ID,en,ar,zh-Hans,zh-Hant,de,es,fa,fr,he,id,it,ja,ko,hu,nl,no,pl,pt-br,ru,uk,fi,vi,tr
Language,English,العربية,简体中文,繁體中文,Deutsch,Español,فارسی,Français,עברית,Bahasa Indonesia,Italiano,日本語,한국어,Magyar,Nederlands,Norsk (Bokmål),Polski,Português (Brasil),Русский,українська мова,Suomi,Tiếng Việt,Türkçe
Translators,"Le-Baldy2002, Forrest","Aram","Iloli, Eros Li","Lks Angus, Forrest, nitori","FeArZ0z, CurryWaffel, Tim 'Cookie' Dunker","Ignacio Di Leva, elmenda452, Tryleph","DNA.h, ShayaX","Gilles-Philippe Paillé, romain22222, Xavier Robinson, Louis Durand, Guillaume Mathieu","TheOnlyTails","Stevonnie, SamCool939, Curie, neo085","Exory, Error404.exe, Granz, Carter, Biz92k, GMN177","harupii, Sato Wonderful, ajitako, Rossignol, Sugar","Eaux Tacous, cjddig, TheoremOfMapi, Major Tom, 기기기긱","Shutimano, Sickae, Holndonner Márk","Amber, Timo, Omnieboer, Luc, Tim Oosterom","Rebecca, Excellify, Vegard Grydeland, Gandhi.","Kingstone, Boheus, Kamilok, Tomcatek","pince, canhotuctor, Acd, Ariel Vidovix","Dimelsondr, Taarde, dphdmn, MobButcher, Antonzlo","MaddieTheMad, Botan","Efun, rethesis, StarTheFurry","ducdat0507, Rune, TLGM2308","Murat Özcan, Harun Kartal"
Minigame1,15-Puzzle,لغز - 15,数字推盘,數字推盤,15-puzzle,Juego del 15,بازی پانزده,Taquin,פאזל 15,Teka-teki 15,Gioco del 15,15パズル,슬라이드 퍼즐,Tizenötös játék,15-Puzzel,15-Puzzle,Piętnastka,O Jogo do 15,Пятнашки,П'ятнашки,15-palapeli,Xếp hình 15 số,15-Bulmaca
Minigame2,Torus Puzzle,لغز تورس,环面游戏,環面遊戲,Torus Puzzle,Rompecabezas Torus,بازی تاوروس,Puzzle Torique,פאזל טורוס,Teka-teki Torus,Torus Puzzle,トーラスパズル,토러스 퍼즐,Tórusz Puzzle,Torus Puzzel,Torus-Puzzle,Zagadka Torusa,Puzzle de Torus,Головоломка «Тор»,Головоломка «Тор»,Torus palapeli,Xếp hình Torus,Torus Bulmacası
Minigame3,Order all numbers by tapping squares.,رتب جميع الأرقام من خلال الضغط على المربعات.,点击方块以排列数字（从小到大，从左到右，从上到下）。,點擊方塊以排列數字（從小到大，從左到右，從上到下）。,Ordne alle Zahlen durch Antippen der Quadrate.,Ordena tocando los cuadrados.,تمامی اعداد را با کلیک کردن روی آن‌ها مرتب نمایید.,Ordonnez les numéros en appuyant sur les tuiles.,לסדר את כל המספרים על ידי לחיצה על הריבועים.,Mengurutkan semua angka dengan cara mengetuk kotak.,Ordina i numeri premendo sulle caselle.,四角をタップしてすべての数字を順番通りに並べてください。,사각형을 탭하여 숫자들을 순서대로 맞추세요.,Állítsd sorrendbe a számokat a négyzetekre koppintva.,Zet alle nummers op de goede volgorde door op de vierkanten te tikken.,Sorter alle tallene ved å trykke på rutene.,Uporządkuj numery stukając w kafelki,Ordene todos os números apertando os quadrados.,"Расположите все числа по возрастанию, нажимая на квадраты.","Розмістіть всі числа по зростанню, натискаючи на квадрати.",Järjestä kaikki numerot napauttamalla niitä.,Sắp xếp lại các số bằng cách nhấn vào các ô vuông.,Tüm sayıları karelere tıklayarak sırala.
Minigame4,Order all numbers by swiping.,رتب جميع الأرقام من خلال السحب.,滑动以排列数字（从小到大，从左到右，从上到下）。,滑動以排列數字（從小到大．從左到右，從上到下）。,Ordne alle Zahlen durch Wischen.,Ordena deslizando los números.,تمامی اعداد را با جابه‌جا کردن آن‌ها مرتب نمایید.,Ordonnez les numéros en faisant glisser les tuiles.,לסדר את כל המספרים על ידי החלקה.,Mengurutkan semua angka dengan cara menggeser,Ordina i numeri scorrendo righe e colonne,スワイプしてすべての数字を順番通りに並べてください。,슬라이드하여 숫자들을 순서대로 맞추세요.,Állítsd sorrendbe a számokat elhúzással.,Zet alle nummers op de goede volgorde door te vegen.,Sorter alle tallene ved å sveipe.,Uporządkuj numery przesuwając.,Ordene todos os números deslizando os quadrados.,"Расположите все числа по возрастанию, перемещая ряды или колонки.","Розмістіть всі числа по зростанню, переміщаючи ряди або колонки.",Järjestä kaikki numerot raahaamalla niitä.,Sắp xếp lại các số bằng cách vuốt các ô vuông.,Tüm sayıları kaydırarak sırala.
Minigame10,Select Difficulty,إختر الصعوبة,选择难度,選擇難度,Wähle einen Schwierigkeitsgrad,Selecciona la dificultad,انتخاب سختی,Choisissez la difficulté,בחר רמת קושי,Pilih Kesulitan,Seleziona la difficoltà,難易度を選択,난이도 선택,Válasszon nehézségi szintet,Selecteer Moeilijkheidsgraad,Velg vanskelighetsgrad,Wybierz poziom trudności,Selecione a Dificuldade:,Выбор сложности,Вибір складності,Valitse vaikeustaso,Chọn độ khó,Zorluğu seç
Minigame11,Easy,سهل,简单,簡單,Einfach,Fácil,ساده,Facile,קל,Mudah,Facile,Easy,쉬움,Könnyű,Makkelijk,Lett,Łatwy ,Fácil,Легкая,Легка,Helppo,Dễ,Kolay
Minigame12,Medium,متوسط,中等,中等,Mittel,Medio,متوسط,Moyen,בינוני,Sedang,Media,Medium,중간,Közepes,Medium,Middels,Średni,Médio,Средняя,Середня,Kohtalainen,Vừa,Orta
Minigame13,Hard,صعب,困难,困難,Schwer,Difícil,دشوار,Difficile,קשה,Sulit,Difficile,Hard,어려움,Nehéz,Moeilijk,Vanskelig,Trudny,Difícil,Сложная,Складна,Vaikea,Khó,Zor
AchievementPage1,Achievements,الإنجازات,成就,成就,Erfolge,Logros,دستاوردها,Succès,הישגים,Pencapaian,Obiettivi,実績,업적,Teljesítmények,Prestaties,Oppnåelser,Osiągnięcia,Conquistas,Достижения,Досягнення,Saavutukset,Thành tựu,Başarımlar
AchievementTitle90,Costs Are Divided,التكاليف تنقسم,价格做的是除法,價格做的是除法,Die Kosten werden geteilt,Los costos se dividen,هزینه‌ها تقسیم می‌شوند,Les coûts sont divisés,העלויות מחולקות,Biayanya Membagi,I Costi sono divisi,コストは割り算,비용은 나눗셈입니다,Osztódó Költségek,Kosten Zijn Verdeeld,Kostnadene fordeles,Koszty są dzielone,Os Custos são Divididos,Цены делятся,Ціни діляться,Kustannukset ovat jaetut,Chi phí bị chia,Maliyetler Bölünür
AchievementDesc90,Buy your first variable and realize that costs divide f(t) instead of subtracting.,شراء المتغير الأول يجعلك تدرك بأن التكلفة تقسم قيمة (t)f بدلًا من طرحها.,购买你的第一个变量，你会发现价格是从f(t)中除掉，而不是减掉。,購買你的第一個變量，並意識到價格與f(t)相除，而不是相減。,"Kaufe deine erste Variable und erkenne, dass die Kosten f(t) teilen, anstatt abzuziehen.",Compra tu primera variable y date cuenta de que los costos dividen a f(t) en vez de restarle.,اولین متغیرتان را خریداری نموده و مشاهده کنید که هزینه آن بر f(t) تقسیم می‌شود به جای آنکه از آن کسر شود.,Achetez votre première variable et réalisez que les coûts divisent f(t) au lieu de les soustraire.,קנה את המשתנה הראשון שלך והבן שקנייה מחלקת את (f(t במקום לחסר ממנו.,Beli variabel pertamamu dan menyadari bahwa biaya membagi f(t) bukan mengurangkan.,Acquista la tua prima variabile e realizza che i costi dividono f(t) invece che sottrarlo.,最初の変数を購入し、コストは f(t) に対する減算ではなく除算であることに気づく,첫 번째 변수를 구매하고 비용이 f(x)를 빼는 게 아니라 나눈다는 걸 확인하세요.,"Vedd meg az első változódat és jöjj rá, hogy a költségek osztják az f(t) függvényedet kivonás helyett.",Koop je eerste variabele en besef dat de kosten f(t) delen in plaats van aftrekken.,Kjøp din første variabel og innse at kostnadene deler f(t) i stedet for å bruke subtraksjon,"Kup swoją pierwszą zmienną by zdać sobie sprawę, że koszty dzielą f(t) zamiast się odejmować.",Compre sua primeira variável e perceba que o custo divide f(t) ao invés de subtrair.,"Купите свою первую переменную и узнайте, что цены делят f(t), а не вычитают от него.","Купіть свою першу змінну і дізнайтеся, що ціни ділять f(t), а не віднімають від нього.","Osta ensimmäinen muuttuja ja tajua, että kustannukset jakavat f(t):n vähentämisen sijasta.",Mua biến số đầu tiên của bạn và nhận ra f(t) bị chia cho giá thay vì bị trừ.,İlk değişkenini satın al ve maliyetlerin çıkartma yerine bölme ile hesaplandığını fark et.
AchievementTitle0,First Money,اول مال,第一桶金,第一桶金,Erstes Geld,Primeros dolares,اولین پول,Première paie,הכסף הראשון,Uang Pertama,Primo denaro,はじめてのお金,첫 돈,Első Pénz,Eerste Geld,Første penger,Pierwszy pieniądz,Primeiro Dinheiro,Первые деньги,Перші гроші,Ensirahat,Khoản tiền đầu tiên,İlk Para
AchievementDesc0,Gain your first 10 dollars.,احصل على اول 10 دولار الخاصة بك.,获得第一笔十元。,獲得第一筆10元。,Verdiene deine ersten 10 Dollar.,Gana tus primeros 10 dólares.,اولین 10 دلار خود را کسب کنید.,Gagnez vos premiers 10 dollars.,הרווח את עשרת הדולרים הראשונים שלך.,Dapatkan 10 dolar pertamamu.,Guadagna i tuoi primi 10 dollari.,はじめて10ドル獲得する。,10달러를 획득하세요.,Szerezd meg az első 10 dollárodat.,Verdien je eerste 10 dollar.,Få dine første 10 dollar.,Zarób swoje pierwsze 10 dolarów.,Ganhe seus primeiros 10 dólares.,Получите свои первые 10 долларов.,Отримайте свої перші 10 доларів.,Saa kymmenen dollaria.,Nhận 10 đô-la đầu tiên của bạn.,İlk 10 dolarını kazan.
AchievementTitle1,First Thousand,اول الف,第一千,第一個千元,Erste Tausend,Primer mil,اولین اسکناس,Premier millier,האלף הראשון,Ribuan Pertama,Primo migliaio,はじめての1000ドル,첫 1000,Az Első Ezres,Eerste Duizend,Første tusen,Pierwszy Tysiąc,Primeiro Mil,Первая тысяча,Перша тисяча,Tonnin seteli,Một ngàn đô,İlk Bin
